,content,score,at
8450,Mantap,5,2024-02-13 05:47:12
4179,agus tapi kenapa ratinh nya 3.0,5,2024-02-18 01:13:31
3477,Sangat membantu dalam mencari sebuah informasi,5,2024-02-23 06:03:56
3704,Belum support Bahasa Indonesia,4,2024-02-23 11:16:33
8451,"Why can't I log in to my account anymore and it shows an error message? Ever since Bard AI became Gemini, I haven't been able to access it. Please resolve this issue,I need this device for work!",1,2024-03-03 22:33:39
8449,Not support Indonesian language,4,2024-03-06 01:06:58
8448,belum sempurna,5,2024-04-03 02:52:30
3155,aplikasi sangat membantu tetapi masih ada kekurangan dalam menjawab perintah.,5,2024-05-09 23:09:47
3868,kadang bhs Inggris kadang bhs indo,3,2024-05-10 01:27:20
2159,lebih mudah untuk pemakaiannya dan responsif sangat bagus. hasil yang ditampilkan jika lebih berguna,5,2024-05-10 04:53:01
2682,"Subhanallah, pilihan untuk mengobrol dengan AI semakin banyak, sangat membantu. Terima kasih!",5,2024-05-10 06:09:00
8088,mantap,5,2024-05-10 07:26:49
3110,"moga google assist dan Gemini digabung, biar bisa translate teks di layar secara real time",5,2024-05-10 07:56:41
3186,masih kurang cepat di bandingkan versi webnya,4,2024-05-10 10:04:51
4308,AI sudah menjadi sahabat kita saat ini,5,2024-05-10 10:15:11
3913,"bagus, perlu lebih optimal lagi",4,2024-05-10 12:17:29
3309,Sangat menarik & mengagumkan.,5,2024-05-10 14:51:00
2222,"Kurang perfect, masih bagus Copilot milik Microsoft dalam pembuatan script pemrograman.",3,2024-05-10 15:12:11
2215,"respon awal selalu menggunakan bahasa inggris, ini mempengaruhi kecepatan dalam menerima informasi dari aplikasi Gemini. tolong perbaiki masalah yang saya hadapi",1,2024-05-10 17:00:03
3911,lebih bagus ketimbang google asisten,5,2024-05-10 19:03:20
8404,sangat bagus,5,2024-05-10 22:18:07
3941,pertanyaan dan Jawaban ga nyambung,3,2024-05-11 03:54:37
3893,mantap semoga cepat selesai ya google,5,2024-05-11 07:16:56
3239,Semoga makin canggih fiturnya dan gratis,5,2024-05-11 07:52:49
3609,google sangat kreatif membuat AI yang bisa cari info di internet lewat percakapan🫰,5,2024-05-11 09:28:04
3930,Membantu untuk rekomendasi,5,2024-05-11 12:41:15
7969,good,5,2024-05-11 13:16:24
2280,"sangat sangat membantu, semoga Gemini semakin terdepan dan semakin baik dalam segi penalaran dan juga mendapatkan informasi dari Internet. semoga kedepannya memiliki fitur dapat mencari ke media sosial. Terus semangat, Google!",5,2024-05-11 14:49:45
8081,rorr,5,2024-05-12 08:00:40
7421,Sangat bagus 👍,4,2024-05-12 09:26:56
3169,"Akhirnyaaa, aku bisa pakai gemini di app mobile. Biasanya lewat web",5,2024-05-12 10:45:40
4175,semoga stabil,4,2024-05-12 11:00:46
3211,Luar biasa keren sudah bisa digunakan di android,5,2024-05-12 13:18:18
8351,mksh gugel,5,2024-05-12 13:31:02
2669,tingkatkan input data biar lebih cerdas jangan lupa privasi jg di perhatikan,5,2024-05-12 14:11:17
4231,sangat membantu,5,2024-05-12 18:03:43
4001,Bagus membantu saya mengerjakan tugas,5,2024-05-13 03:46:34
3811,Akhirnya bisa pakai Gemini di Android,5,2024-05-13 08:10:17
1014,"Ini adalah aplikasi pengganti google assistant, tapi belum didukung diindonesia dan ada banyak fitur google assistant yang dihapus seperti cuaca, setel alarm, buka aplikasi, penunjuk jalan, dll. Tolong tambahkan fitur fitur yang ada di google assistant.",3,2024-05-13 12:58:56
3473,cocok untuk tugas yang sulit,5,2024-05-13 14:22:25
3172,good Gemini sangat bagus. Aku suka. Rasanya aku seperti rimuru tempest dan Gemini seperti ultimate skill Raphael sang great sage Luar biasa. Gemini sangat cerdas,5,2024-05-13 14:24:29
7649,ok,5,2024-05-13 15:43:04
3273,Bintang 1. Masih hebat OpenAI dan CoPilot milik Microsoft,1,2024-05-13 23:54:35
3163,mantap.. sejauh ini sangat membantu dalam mencari informasi,5,2024-05-14 03:09:57
1167,"ada banyak mode di google asisten seperti mode interpreter, mode mini games yg seharusnya bisa diintegrasikan atau memang google ingin asistennya jadi dua identitas yang sepenuhnya berbeda dan berdiri sendiri sesikit kecewa",4,2024-05-14 05:35:06
3446,"Mas nya ini ""Menyala Abangkuh"" banget loh rekk...!! Semua pertanyaan bisa di jawab, siksiksik🗿😹",5,2024-05-14 08:05:00
8185,good,5,2024-05-14 10:40:53
3466,Mantap gk sia-sia sudah merasakan bagian dari Google Gemini selama 10 bulan.,5,2024-05-14 10:52:54
3488,belum bisa ganti jenis suara? tapi lumayan (not bad),4,2024-05-14 13:48:51
4277,Sangat membantu,5,2024-05-14 16:48:55
7679,nice,5,2024-05-14 16:50:49
7872,good,5,2024-05-14 18:16:49
3383,bagus. tapi gada bahasa Indonesia,4,2024-05-14 22:57:38
7398,"This is such cool amazing assistant, and i very love it😍🤩",5,2024-05-14 23:09:34
3165,Alhamdulillah sangat membantu sya terutama utk bhn ajar sebagai seorang pendidik.,5,2024-05-15 02:02:39
8532,kasitau.id,5,2024-05-15 02:35:07
